A,E,H,F,B,G,D,I
I,0.33,95.0,0.1405,415.0,0.0705,105.0,6
I,0.3625,93.0,175.0,415.0,0.0835,0.09,6
I,0.34,0.0945,0.1745,0.42,0.05,0.1,8
I,365.0,105.0,159.0,425.0,0.0825,105.0,6
M,0.5,0.1505,0.21,465.0,113.0,0.11,8
F,0.6265,175.0,259.0,465.0,0.1445,135.0,8
I,0.5555,163.0,0.25,0.47,115.0,0.11,8
F,0.6015,135.0,0.2765,0.47,0.1455,0.12,8
I,0.53,0.1625,0.2505,475.0,0.0975,0.12,10
M,0.6315,161.0,0.3445,0.48,0.1015,135.0,7
M,0.7715,211.0,0.37,0.5,0.16,0.13,8
I,0.6125,172.0,267.0,505.0,142.0,185.0,7
M,872.0,199.0,0.4625,525.0,0.1725,0.19,9
M,0.8115,0.2235,392.0,0.54,0.1455,0.12,9
M,0.8795,0.2625,387.0,545.0,0.15,0.15,11
F,983.0,0.2485,0.4475,565.0,0.2355,0.15,9
M,1145.0,325.0,0.48,0.58,277.0,0.18,11
M,1.09,292.0,0.5,0.59,0.2215,0.16,9
M,1262.0,335.0,0.5685,0.59,0.2725,0.16,9
M,1185.0,361.0,482.0,595.0,0.2015,185.0,10
F,1.4405,0.3175,0.5885,0.6,191.0,135.0,9
F,1332.0,0.35,0.6235,0.6,0.2835,155.0,8
F,1.1405,288.0,587.0,0.6,0.2175,165.0,9
M,1201.0,309.0,0.5395,605.0,275.0,175.0,10
F,1.33,0.33,0.6675,625.0,259.0,155.0,10
M,1362.0,384.0,0.5785,0.63,0.3125,185.0,10
M,1647.0,471.0,0.7225,0.64,331.0,195.0,12
F,1.4995,431.0,593.0,0.64,314.0,0.18,11
F,1.6225,513.0,0.6555,655.0,299.0,165.0,12
I,1786.0,0.4065,0.6725,0.66,0.3615,215.0,11
M,1791.0,0.54,733.0,0.66,318.0,0.2,15
F,1925.0,0.4535,713.0,675.0,358.0,205.0,13
F,1689.0,474.0,694.0,675.0,371.0,175.0,13
F,1659.0,0.4395,0.8715,0.69,0.2655,0.18,9
F,2.0475,0.6095,0.75,695.0,0.4195,0.2,14
F,1.6015,0.43,707.0,0.7,365.0,0.19,10
F,2.0165,435.0,1.0685,0.73,418.0,165.0,10
I,0.04,13.0,0.02,205.0,11.0,65.0,4
I,0.0565,16.0,24.0,225.0,13.0,0.07,4
I,64.0,0.02,0.0215,0.23,0.0135,0.05,5
I,0.0875,0.0255,0.0345,275.0,22.0,0.07,4
I,106.0,31.0,0.0415,0.28,0.0265,55.0,5
I,0.1315,0.03,66.0,0.28,24.0,0.08,5
I,126.0,35.0,0.0515,295.0,0.0275,0.07,6
I,155.0,0.0365,65.0,0.31,37.0,75.0,6
I,149.0,47.0,58.0,315.0,0.0325,0.07,7
I,185.0,0.07,0.0625,0.34,0.0395,0.07,7
I,0.2545,0.07,108.0,0.37,0.0565,0.08,6
I,237.0,0.07,115.0,0.38,0.0405,85.0,6
I,279.0,0.08,0.1155,0.39,59.0,0.1,7
I,0.3205,88.0,0.1575,405.0,66.0,65.0,6
I,0.3335,95.0,0.1445,415.0,0.0715,0.1,7
I,0.3885,111.0,175.0,0.44,0.0835,0.11,7
I,545.0,0.1305,269.0,0.44,111.0,115.0,6
I,0.4165,0.11,185.0,0.44,0.0865,0.1,6
I,495.0,125.0,231.0,0.44,0.11,0.12,7
I,0.4775,118.0,0.2235,0.45,89.0,125.0,6
I,468.0,0.1325,0.2005,0.45,0.1065,0.12,8
F,0.4555,0.1375,0.1945,455.0,0.1045,0.12,7
F,0.46,0.1165,0.2025,0.46,0.1115,115.0,6
I,0.4155,107.0,198.0,0.46,0.0885,0.12,7
I,0.4215,111.0,0.1895,0.46,102.0,115.0,6
I,474.0,0.12,0.23,465.0,0.1005,0.11,7
M,486.0,0.1225,231.0,465.0,0.1035,105.0,9
I,0.5735,136.0,311.0,475.0,0.1025,0.11,7
I,468.0,0.12,201.0,475.0,0.1115,105.0,8
M,0.5135,135.0,243.0,0.48,0.1015,0.1,8
M,0.6215,0.1485,274.0,0.5,166.0,145.0,7
I,494.0,0.1325,218.0,0.5,0.09,0.11,7
I,0.6005,185.0,239.0,505.0,142.0,0.12,7
M,646.0,172.0,285.0,515.0,0.1365,0.12,9
M,0.7945,202.0,394.0,525.0,189.0,135.0,7
M,812.0,195.0,0.4035,525.0,0.1705,125.0,8
F,828.0,0.1505,0.41,0.53,208.0,0.17,6
M,681.0,0.1835,0.3095,0.53,0.1415,0.14,6
F,889.0,215.0,0.4055,0.53,0.2275,0.15,8
M,0.7345,213.0,0.33,0.54,0.1595,0.14,9
F,964.0,215.0,0.5475,0.55,159.0,125.0,8
F,963.0,0.24,0.44,555.0,224.0,0.14,7
F,995.0,0.2505,504.0,0.57,185.0,0.15,9
F,0.8585,0.2295,0.3905,0.57,196.0,0.14,8
M,948.0,259.0,429.0,575.0,206.0,155.0,7
F,888.0,0.2425,0.41,0.58,0.1815,145.0,8
F,0.9045,0.2335,405.0,585.0,0.2215,0.16,8
M,1046.0,263.0,0.4695,0.59,263.0,0.14,7
F,1.1775,0.31,542.0,595.0,269.0,155.0,9
F,1.0765,287.0,491.0,595.0,0.22,0.15,9
F,1.0255,289.0,412.0,595.0,0.2745,0.15,11
F,0.9325,248.0,0.3985,0.6,0.2245,145.0,8
F,1235.0,0.29,0.6025,0.6,274.0,0.15,8
M,1247.0,0.29,0.5335,0.6,0.2735,0.15,9
M,1.1495,264.0,564.0,0.61,274.0,0.15,8
F,1.1575,315.0,0.5005,615.0,0.2495,0.16,10
F,1327.0,355.0,0.6,615.0,0.3015,165.0,10
M,1.2,292.0,0.5085,615.0,0.32,155.0,8
F,1.2705,0.3225,0.5415,0.62,323.0,175.0,9
F,1.2155,345.0,545.0,0.62,253.0,175.0,10
F,1.3245,0.3275,0.6865,0.62,233.0,0.16,9
M,1.3555,0.3385,671.0,625.0,268.0,0.17,10
F,1127.0,0.3185,477.0,625.0,0.2365,165.0,9
F,1.1075,0.3595,0.4485,625.0,0.2165,175.0,8
F,1.4255,0.38,659.0,0.63,336.0,0.2,11
F,1147.0,0.2885,0.5455,0.63,266.0,145.0,9
M,1286.0,0.35,604.0,0.63,271.0,165.0,8
F,1596.0,0.37,617.0,635.0,317.0,0.18,11
F,1297.0,0.37,556.0,635.0,0.2985,195.0,11
M,1251.0,0.3165,0.5355,645.0,0.3345,0.16,9
M,1.5105,0.3775,0.6735,645.0,0.3755,175.0,12
F,1.4415,341.0,741.0,0.65,0.2955,185.0,9
M,1.6385,391.0,0.8115,0.67,369.0,0.19,9
F,1933.0,498.0,0.7855,0.69,429.0,205.0,13
M,1.71,0.4325,0.7725,0.69,0.3855,185.0,8
F,1.8495,0.4175,767.0,695.0,442.0,155.0,10
M,1742.0,505.0,696.0,695.0,389.0,175.0,12
F,1.7975,0.5165,0.7295,0.7,0.3935,205.0,13
F,2381.0,624.0,0.9915,705.0,0.5005,205.0,10
M,2398.0,0.5335,1128.0,765.0,512.0,0.18,12
M,2.1945,584.0,1.0515,0.77,482.0,215.0,10
I,49.0,15.0,0.0215,0.22,0.01,0.05,4
I,0.1055,0.0315,495.0,275.0,19.0,0.07,5
I,0.1045,35.0,0.0415,0.29,22.0,0.06,5
I,163.0,48.0,0.0745,0.33,33.0,75.0,6
I,0.2275,0.0715,0.0955,355.0,0.0475,95.0,6
I,219.0,75.0,0.0925,375.0,38.0,0.1,6
I,0.3645,95.0,0.1765,415.0,0.0795,0.1,8
I,0.3265,103.0,0.1315,425.0,77.0,115.0,6
I,0.3515,94.0,0.1625,425.0,82.0,0.1,7
I,0.3465,0.09,0.1635,0.43,0.08,0.1,7
I,407.0,103.0,209.0,0.44,0.0735,0.1,7
I,0.4215,113.0,173.0,0.44,0.0765,115.0,7
I,0.3755,125.0,0.1525,0.46,58.0,0.11,7
I,0.5335,0.1345,0.2645,0.46,108.0,0.12,6
I,442.0,0.1185,0.2085,465.0,0.0975,105.0,7
I,0.1315,123.0,0.2025,475.0,0.0875,0.1,7
I,0.5205,0.1455,233.0,475.0,119.0,115.0,7
I,0.5535,157.0,266.0,485.0,112.0,0.13,8
I,0.5445,0.13,279.0,0.49,115.0,125.0,8
M,554.0,0.15,0.2935,0.49,0.1005,0.11,8
I,512.0,136.0,233.0,495.0,0.1205,0.12,7
I,583.0,0.1605,294.0,0.5,132.0,125.0,8
M,0.5765,145.0,273.0,0.5,135.0,0.12,9
M,723.0,178.0,377.0,505.0,149.0,135.0,7
I,0.5395,167.0,0.2465,0.51,0.1085,155.0,8
I,625.0,0.1725,0.3095,0.51,119.0,0.15,8
I,0.5925,168.0,265.0,515.0,0.1175,125.0,9
I,633.0,175.0,0.2985,0.52,0.1295,135.0,9
F,832.0,201.0,0.4355,545.0,0.17,0.14,9
M,778.0,205.0,0.3745,545.0,0.1545,145.0,7
M,0.7865,0.17,403.0,545.0,185.0,0.12,7
F,778.0,0.18,368.0,545.0,215.0,0.14,9
I,636.0,0.1755,294.0,0.55,144.0,0.13,8
F,0.8435,185.0,434.0,0.55,0.1995,135.0,8
I,648.0,0.2105,0.2835,555.0,133.0,0.13,8
M,784.0,213.0,0.3495,565.0,0.1885,0.13,9
F,908.0,255.0,0.4015,0.57,217.0,0.18,9
M,1.02,0.25,546.0,0.57,204.0,135.0,9
F,811.0,0.2285,0.3875,0.57,159.0,0.16,9
F,897.0,248.0,0.4235,575.0,0.1905,0.15,8
M,852.0,225.0,0.41,0.58,0.1725,0.13,8
F,938.0,225.0,467.0,585.0,203.0,0.15,7
F,0.6955,0.2245,0.3085,585.0,129.0,0.14,8
M,861.0,249.0,413.0,0.59,164.0,0.15,8
M,1004.0,0.26,496.0,0.59,0.2165,0.14,9
F,1.0115,0.2565,445.0,0.59,0.2615,0.16,8
F,1.1005,265.0,0.5415,595.0,166.0,0.15,8
M,1108.0,0.3345,0.4915,595.0,0.2325,165.0,9
M,852.0,227.0,0.4215,595.0,0.2255,0.14,9
M,1.9875,491.0,1005.0,0.6,419.0,0.21,10
F,1079.0,293.0,0.4505,605.0,0.2835,0.15,10
F,1055.0,0.2345,543.0,615.0,246.0,0.17,9
M,1198.0,0.2505,707.0,615.0,0.2095,0.15,7
F,1084.0,246.0,0.5885,615.0,209.0,155.0,9
M,1103.0,0.2725,0.4635,615.0,0.3095,175.0,10
M,1.1,0.31,505.0,0.62,0.2475,155.0,9
M,1.1015,305.0,0.4965,0.62,243.0,0.15,10
M,1.3835,345.0,0.7105,625.0,0.3005,185.0,11
F,1115.0,0.3095,484.0,625.0,277.0,155.0,9
M,1085.0,327.0,0.4645,625.0,0.2445,145.0,10
M,1.3165,0.37,0.6325,0.63,0.2465,0.15,11
M,1.3415,375.0,0.6575,0.63,262.0,175.0,10
M,1027.0,176.0,537.0,0.63,188.0,0.15,8
M,1.1845,335.0,506.0,645.0,311.0,0.16,9
M,1192.0,285.0,0.6055,645.0,0.2595,0.15,9
F,1285.0,317.0,0.5775,645.0,352.0,0.18,9
M,1.1805,0.3275,0.5235,0.65,283.0,125.0,9
M,1.2655,336.0,615.0,0.65,0.2775,175.0,9
F,1.2895,344.0,0.6095,0.65,0.2765,175.0,10
M,1407.0,335.0,0.7215,0.65,298.0,155.0,9
F,1122.0,0.3055,545.0,0.65,228.0,155.0,9
M,1.4465,0.3755,694.0,0.66,298.0,165.0,10
F,1349.0,0.36,0.5985,665.0,0.3175,165.0,9
M,1269.0,351.0,576.0,0.67,0.2985,0.2,11
M,1.68,0.3935,926.0,0.67,0.2975,0.18,13
F,1551.0,412.0,0.7105,675.0,0.3685,0.19,13
M,1.4775,406.0,724.0,0.68,279.0,165.0,11
M,1529.0,0.4025,0.7635,0.68,0.3115,0.18,11
M,1.7585,0.47,0.8745,0.7,0.3615,175.0,10
M,1523.0,0.4405,693.0,0.7,306.0,0.2,13
F,1.7315,405.0,0.83,725.0,398.0,0.19,11
M,1.51,0.5085,0.8735,725.0,0.4265,0.2,9
M,1.88,488.0,0.9095,735.0,387.0,175.0,11
F,2012.0,471.0,0.8915,0.74,0.5265,0.22,12
M,2201.0,0.5285,1.0615,0.75,0.5235,215.0,11
I,0.0315,0.0105,0.0125,0.19,5.0,0.03,3
I,0.04,0.0105,0.0135,0.21,8.0,45.0,4
I,0.0635,0.02,0.0275,0.25,8.0,0.06,4
I,0.0985,31.0,0.0425,0.29,21.0,65.0,5
I,167.0,0.0575,0.0675,335.0,0.0325,0.08,6
I,0.2015,53.0,0.1005,0.34,38.0,85.0,6
I,183.0,0.06,75.0,345.0,0.0385,95.0,6
I,187.0,58.0,78.0,355.0,0.0505,0.08,7
I,0.1795,0.06,74.0,0.36,0.0315,0.08,5
I,0.2065,58.0,96.0,0.37,0.0395,0.09,7
I,0.3,0.0825,0.14,375.0,0.0625,0.14,8
I,0.2295,66.0,95.0,375.0,0.0545,95.0,7
I,343.0,81.0,0.1705,385.0,0.0735,125.0,7
I,244.0,68.0,0.1215,385.0,0.0445,85.0,8
I,0.3075,0.09,149.0,395.0,0.0535,0.1,8
I,0.3415,0.0865,176.0,0.4,0.0625,0.1,7
I,271.0,91.0,0.0965,405.0,61.0,0.1,7
I,0.91,0.0995,416.0,405.0,0.2075,0.11,8
I,268.0,85.0,0.1145,405.0,53.0,0.1,7
I,0.2885,0.0765,138.0,405.0,0.0635,0.09,6
I,0.3,0.1,124.0,0.41,0.0575,0.1,8
I,326.0,101.0,0.1325,0.41,75.0,0.11,8
I,358.0,105.0,169.0,415.0,67.0,0.1,7
I,314.0,0.1,0.1295,0.42,0.0635,115.0,8
I,0.4025,0.1015,0.1855,0.42,83.0,0.11,8
I,0.3645,105.0,159.0,0.43,0.0855,0.11,7
I,0.4235,0.14,182.0,445.0,0.0765,0.11,9
M,0.4305,0.1155,0.2235,0.45,0.0785,115.0,8
I,0.3505,0.1185,0.1615,0.45,0.0625,95.0,7
I,486.0,0.1315,261.0,455.0,0.0655,115.0,8
I,471.0,123.0,252.0,0.46,77.0,0.1,8
I,415.0,0.11,187.0,0.46,87.0,105.0,8
I,0.5195,0.1325,279.0,475.0,88.0,115.0,7
M,0.5895,172.0,0.2535,0.48,128.0,0.12,11
I,0.5215,0.16,0.2215,485.0,118.0,125.0,8
I,0.4475,0.2305,0.1895,485.0,0.0925,0.14,8
I,0.5585,0.1615,252.0,0.49,126.0,125.0,10
I,596.0,0.21,245.0,505.0,97.0,125.0,9
I,0.5385,165.0,0.2645,505.0,95.0,135.0,9
I,0.7665,0.1805,0.3985,0.51,0.14,145.0,8
F,516.0,162.0,0.2015,515.0,132.0,135.0,9
M,0.7355,0.2,0.3065,515.0,137.0,0.14,7
I,531.0,0.1615,0.2415,515.0,98.0,0.11,8
I,607.0,195.0,0.2355,525.0,125.0,0.13,8
F,0.7055,199.0,329.0,525.0,147.0,0.15,10
I,0.6445,0.2,345.0,525.0,0.1285,0.13,8
I,0.6315,0.19,0.3045,525.0,114.0,0.12,9
M,0.7845,245.0,0.3285,535.0,169.0,155.0,10
F,0.9475,275.0,366.0,545.0,239.0,0.15,8
I,712.0,225.0,0.3025,0.55,152.0,145.0,10
I,0.89,236.0,0.4325,0.55,171.0,145.0,10
I,912.0,205.0,495.0,0.55,0.1805,155.0,9
I,656.0,203.0,257.0,0.55,0.17,135.0,10
I,936.0,0.2435,481.0,0.55,174.0,0.15,9
I,0.6975,0.24,262.0,555.0,0.1575,145.0,11
F,1.1465,0.2785,551.0,555.0,244.0,175.0,8
I,825.0,245.0,402.0,0.56,139.0,0.14,10
I,0.72,251.0,329.0,0.56,103.0,135.0,11
I,0.8215,0.29,332.0,565.0,0.1685,0.15,11
F,1017.0,265.0,0.5265,0.57,0.2025,155.0,10
F,0.8975,0.23,0.4115,575.0,0.2325,155.0,9
M,1.2255,0.3265,0.5405,0.58,0.2705,175.0,10
F,0.9865,0.25,0.47,0.58,0.2155,145.0,11
F,844.0,0.2705,0.3645,0.58,185.0,0.15,9
I,0.8465,295.0,339.0,585.0,167.0,145.0,10
M,885.0,274.0,0.4025,585.0,0.1625,165.0,10
I,0.6735,0.22,0.2895,585.0,0.1345,145.0,9
F,0.8755,225.0,411.0,585.0,0.2065,0.13,8
M,0.9235,254.0,0.4545,0.59,173.0,145.0,9
M,977.0,275.0,0.4625,0.59,0.2025,0.14,10
M,1.0305,278.0,0.4925,595.0,217.0,0.14,10
M,1.05,0.28,457.0,0.6,0.2685,0.09,8
M,1.1145,367.0,0.5055,0.6,0.2635,185.0,11
M,877.0,0.24,0.4325,0.6,155.0,145.0,9
M,1285.0,315.0,0.6095,0.6,0.2745,185.0,9
M,1.3065,0.29,0.6895,0.61,0.2915,185.0,10
F,0.8725,272.0,389.0,0.61,0.1715,0.13,11
F,1.0265,0.2745,0.4935,615.0,201.0,0.15,10
F,1.1605,307.0,0.6005,0.62,0.2195,0.14,9
F,1.0125,324.0,0.5325,0.62,0.4365,165.0,10
M,1096.0,295.0,0.5445,625.0,0.2165,0.14,10
M,1205.0,0.3465,0.5175,625.0,0.3105,165.0,10
M,1221.0,0.34,555.0,0.63,252.0,175.0,12
F,1.0005,265.0,452.0,0.63,252.0,155.0,10
M,1.1355,0.3115,539.0,0.63,0.2325,0.15,12
M,1.3135,465.0,0.4935,0.63,0.2565,195.0,10
M,1.1955,346.0,0.5565,0.64,211.0,155.0,11
M,1098.0,0.3175,0.5195,0.64,222.0,0.15,10
M,1139.0,285.0,0.5395,0.64,282.0,0.17,10
F,1.2265,0.2875,0.49,0.64,377.0,0.17,11
M,1042.0,175.0,515.0,0.64,0.1755,0.08,10
M,1368.0,365.0,0.6185,0.65,288.0,155.0,9
M,1446.0,0.45,0.6485,0.65,0.2705,175.0,12
F,1.4045,0.3745,0.6255,0.66,0.3375,0.19,9
F,1463.0,422.0,0.6525,0.66,0.2995,0.2,11
F,1711.0,475.0,0.8365,675.0,352.0,0.17,9
M,1.74,0.4865,0.7885,0.7,373.0,205.0,13
F,1757.0,461.0,0.8265,705.0,417.0,205.0,9
M,1601.0,0.45,706.0,0.71,321.0,0.2,11
M,2165.0,404.0,1.1055,0.72,525.0,205.0,10
M,2.3305,0.52,1253.0,725.0,541.0,0.19,9
I,0.0545,0.0155,0.0205,0.24,16.0,0.05,5
I,0.0725,21.0,0.0285,255.0,17.0,55.0,4
I,0.0925,26.0,38.0,275.0,21.0,55.0,4
I,183.0,42.0,98.0,0.32,0.0335,0.09,7
I,0.1525,43.0,72.0,325.0,0.0645,75.0,6
I,187.0,0.0425,0.0945,0.33,0.0395,75.0,7
I,232.0,56.0,0.12,0.36,0.0435,0.09,8
I,196.0,0.0585,85.0,375.0,42.0,95.0,5
I,0.2545,0.0675,119.0,375.0,0.0595,0.09,6
I,0.2625,77.0,117.0,0.39,54.0,0.09,7
I,362.0,0.1095,0.1575,0.45,0.0795,105.0,7
I,0.4445,0.1115,213.0,455.0,107.0,105.0,7
I,511.0,123.0,0.2365,0.46,118.0,115.0,7
I,589.0,0.1405,0.3075,495.0,0.1215,0.12,8
M,0.5945,0.1535,309.0,0.5,0.1085,0.13,9
I,529.0,0.16,0.2235,0.5,123.0,0.12,8
M,872.0,0.1985,0.4515,0.52,0.1615,105.0,9
I,0.77,0.1895,424.0,0.52,142.0,145.0,7
F,0.8435,0.1815,0.4325,525.0,0.18,135.0,9
M,818.0,189.0,402.0,535.0,0.1715,0.14,7
F,0.8035,0.21,0.38,0.54,0.1805,0.14,9
F,0.8115,0.2035,0.3875,0.54,0.1875,0.15,9
F,782.0,0.1965,0.3695,0.57,0.1745,0.13,8
M,0.8745,0.25,416.0,0.57,165.0,0.14,8
M,984.0,0.27,0.49,0.58,201.0,0.16,9
F,0.95,0.2325,484.0,0.58,182.0,135.0,8
M,1.1735,0.2595,0.6245,0.59,233.0,155.0,9
F,976.0,0.2765,465.0,0.59,0.2055,0.15,10
M,1.0785,0.31,0.4535,0.59,0.2435,155.0,9
M,1057.0,0.31,0.4255,595.0,224.0,0.16,9
M,1.11,285.0,0.5105,0.6,256.0,175.0,9
M,1142.0,307.0,539.0,0.6,225.0,0.16,10
M,1.1255,0.26,0.59,605.0,247.0,0.19,10
F,1.1045,287.0,535.0,0.62,0.25,0.17,10
M,1.3405,337.0,656.0,625.0,283.0,175.0,10
M,1082.0,0.25,0.5785,625.0,0.2045,0.13,8
F,1254.0,0.3485,591.0,625.0,259.0,0.16,9
M,1.2005,294.0,575.0,0.63,273.0,165.0,10
M,1243.0,0.3,623.0,0.63,275.0,0.16,10
F,1286.0,0.4105,526.0,635.0,295.0,185.0,12
F,1.1665,299.0,0.4935,645.0,0.3155,0.16,9
F,1144.0,319.0,0.5015,645.0,289.0,0.16,8
F,1385.0,405.0,0.8875,0.65,0.3095,0.19,11
F,1309.0,385.0,524.0,655.0,346.0,155.0,11
F,1527.0,331.0,0.8485,655.0,0.2635,0.17,11
M,1.6385,371.0,831.0,665.0,0.3575,0.19,11
M,1691.0,0.4755,768.0,695.0,363.0,195.0,11
F,1719.0,0.3875,0.8465,0.72,407.0,0.18,11
F,1.52,435.0,637.0,0.72,325.0,0.18,10
F,1613.0,0.4945,723.0,0.72,0.3255,0.17,12
M,2.2355,0.5315,1.1705,735.0,463.0,0.21,10
M,2.3235,505.0,1.1495,0.74,0.5115,0.19,11
I,0.1245,38.0,0.0505,0.31,0.0265,0.07,6
I,0.1285,0.0405,51.0,315.0,28.0,75.0,4
I,181.0,0.0495,88.0,0.32,34.0,0.08,5
I,0.1585,0.0455,75.0,325.0,0.0305,75.0,6
I,0.1965,56.0,0.0875,335.0,41.0,0.09,7
I,198.0,58.0,0.0805,0.37,0.0455,85.0,5
I,0.1855,65.0,0.07,0.37,0.0425,0.09,7
I,0.2145,72.0,0.0855,375.0,0.0485,85.0,7
I,0.3245,88.0,151.0,0.4,73.0,0.09,8
I,0.2625,0.09,0.1,0.41,0.0515,95.0,6
I,371.0,115.0,0.15,425.0,0.0865,0.1,8
I,298.0,115.0,109.0,435.0,58.0,95.0,7
I,336.0,0.0855,0.1555,445.0,0.09,0.09,7
I,447.0,0.16,161.0,0.46,87.0,0.14,9
F,0.4085,131.0,165.0,465.0,102.0,0.11,8
I,587.0,174.0,264.0,0.47,117.0,0.13,8
I,494.0,0.1545,211.0,475.0,109.0,0.11,8
I,614.0,161.0,0.2855,495.0,0.1365,0.12,8
I,0.5075,0.1755,0.2115,0.5,104.0,0.13,9
I,0.5445,152.0,249.0,0.5,0.1065,0.12,8
I,0.6115,0.2,245.0,505.0,0.1375,125.0,9
I,0.5605,0.17,0.2255,505.0,0.1435,125.0,8
M,521.0,0.15,0.25,505.0,96.0,115.0,8
I,0.5775,177.0,231.0,0.51,143.0,145.0,9
I,0.5935,204.0,239.0,0.51,0.13,125.0,8
I,597.0,0.16,0.2935,0.52,0.1155,0.11,8
M,0.9505,255.0,456.0,0.52,199.0,0.15,8
I,616.0,185.0,292.0,0.53,113.0,125.0,8
M,0.8315,0.2525,352.0,0.53,187.0,0.15,10
F,0.8725,0.24,417.0,535.0,199.0,125.0,8
I,0.8155,246.0,0.3675,0.54,0.1365,0.13,11
I,619.0,0.1765,0.2755,0.54,0.15,0.11,10
I,0.7595,0.2055,358.0,545.0,153.0,0.13,8
I,742.0,208.0,0.3525,545.0,158.0,0.15,10
I,804.0,244.0,0.34,0.55,194.0,165.0,8
I,664.0,0.21,0.2695,0.55,163.0,0.13,8
F,745.0,0.2265,347.0,0.55,174.0,0.14,9
I,728.0,0.2175,0.3355,0.56,0.1435,0.13,8
I,777.0,222.0,354.0,0.56,173.0,0.13,9
F,0.8765,228.0,455.0,575.0,0.18,0.15,8
I,0.9895,246.0,495.0,575.0,195.0,0.16,9
M,0.9655,0.23,498.0,575.0,0.19,165.0,8
M,0.9065,0.29,371.0,0.58,0.1965,0.15,8
M,1049.0,305.0,0.5205,0.58,0.1935,0.15,10
F,0.9705,248.0,0.4615,0.58,232.0,0.17,9
F,0.92,0.2895,393.0,0.58,212.0,0.15,9
M,0.9525,287.0,0.4315,0.58,0.1945,0.15,11
F,0.7855,195.0,363.0,0.58,0.1955,125.0,11
I,855.0,0.26,0.3795,585.0,187.0,135.0,9
M,1142.0,345.0,485.0,0.59,265.0,0.15,9
I,755.0,238.0,334.0,0.59,0.15,125.0,9
I,0.9745,259.0,0.4675,0.59,207.0,145.0,10
M,1.2015,265.0,492.0,595.0,0.3865,155.0,10
M,1.1295,265.0,0.57,595.0,0.2555,0.17,10
I,0.9205,253.0,445.0,0.6,0.2035,135.0,9
F,1056.0,0.3135,0.4575,0.6,0.2435,0.17,10
M,1.34,0.3605,617.0,0.6,0.3255,195.0,10
F,0.9625,0.2775,0.4375,0.6,0.2225,0.15,9
M,1.0475,315.0,465.0,0.6,0.2345,165.0,11
F,1.0915,335.0,0.4365,605.0,0.2715,0.17,13
M,1167.0,0.3745,457.0,605.0,0.29,0.18,9
I,0.9995,0.3,425.0,605.0,0.1985,155.0,10
