A,E,H,F,B,G,D,I
F,0.59,0.1845,215.0,0.49,125.0,135.0,12
M,0.34,112.0,0.1315,0.43,85.0,95.0,14
F,385.0,0.1345,166.0,455.0,46.0,0.11,13
I,515.0,212.0,175.0,495.0,98.0,145.0,13
F,0.59,0.23,232.0,0.48,141.0,145.0,12
I,0.51,198.0,0.1615,0.47,73.0,0.16,14
M,0.3005,104.0,0.1215,415.0,0.0575,0.1,11
I,683.0,165.0,0.3265,0.49,0.1615,115.0,13
I,468.0,0.17,0.1665,0.47,108.0,105.0,10
I,0.4075,0.18,0.1365,445.0,0.0645,0.13,11
F,584.0,185.0,224.0,0.51,0.1355,0.13,13
F,829.0,205.0,0.3535,0.52,0.1685,145.0,15
I,0.4545,158.0,171.0,475.0,118.0,0.14,8
F,0.4385,125.0,206.0,455.0,98.0,0.11,10
I,407.0,0.13,0.1685,435.0,73.0,0.11,10
I,0.3085,85.0,0.1385,0.39,0.0735,0.1,6
I,239.0,0.07,105.0,375.0,0.0555,0.1,8
M,106.0,35.0,0.0415,285.0,23.0,75.0,5
I,1178.0,315.0,0.3935,0.58,0.2165,0.17,20
F,1073.0,335.0,0.4005,0.58,0.2345,175.0,19
M,306.0,0.09,121.0,0.41,0.0735,95.0,9
M,301.0,0.09,124.0,0.41,69.0,0.1,9
I,0.7585,0.19,307.0,0.54,0.2075,0.15,10
M,171.0,55.0,0.0655,0.33,0.0365,85.0,11
I,0.3625,0.12,134.0,0.44,82.0,115.0,11
M,0.0905,0.03,35.0,0.28,0.02,65.0,5
I,1.0885,375.0,0.3685,0.59,187.0,195.0,17
I,1097.0,335.0,0.4215,0.61,264.0,165.0,13
I,1278.0,0.37,0.41,0.61,257.0,0.17,17
M,0.44,135.0,169.0,455.0,0.1065,125.0,12
M,163.0,55.0,0.0615,0.33,34.0,0.09,10
I,522.0,195.0,0.17,0.44,0.0905,135.0,16
M,0.9715,0.29,0.3225,0.54,194.0,155.0,19
F,588.0,155.0,237.0,475.0,0.1715,125.0,10
F,0.5325,125.0,0.2085,0.46,0.1805,0.15,10
I,127.0,0.04,48.0,0.31,31.0,0.09,6
I,0.0815,31.0,28.0,255.0,16.0,0.07,5
M,0.1635,57.0,0.0615,335.0,0.0345,75.0,8
I,0.1,31.0,38.0,295.0,26.0,0.08,8
I,0.0265,9.0,9.0,0.19,5.0,45.0,5
M,0.9955,325.0,0.3245,545.0,0.2665,165.0,19
M,0.6605,0.19,0.2605,495.0,161.0,0.12,15
M,721.0,0.22,0.3055,0.5,0.1725,0.13,14
F,0.1485,45.0,0.0585,305.0,0.0335,0.07,7
F,487.0,125.0,194.0,475.0,0.1455,115.0,13
M,955.0,0.26,341.0,515.0,0.2535,125.0,13
M,873.0,0.31,0.3035,545.0,196.0,145.0,18
M,1.65,335.0,734.0,0.74,0.4505,185.0,13
M,1.1285,0.33,377.0,565.0,0.3525,0.15,16
M,1.1115,0.26,0.5035,0.56,0.2785,0.16,10
M,0.9745,305.0,353.0,545.0,174.0,125.0,13
M,1.4605,0.41,0.5835,645.0,0.3155,185.0,19
M,1.0105,0.32,368.0,575.0,222.0,0.13,10
M,1.0765,0.3,412.0,0.62,253.0,0.16,13
F,1.2225,385.0,357.0,605.0,202.0,165.0,13
M,1616.0,0.34,0.5495,605.0,332.0,0.16,18
F,559.0,0.1945,0.1955,475.0,0.1215,0.15,12
M,0.2205,0.07,0.0855,365.0,0.0515,85.0,9
F,0.44,0.13,0.19,0.46,0.1025,115.0,8
M,879.0,0.25,0.28,0.53,0.2165,135.0,10
M,0.6815,0.2495,0.2145,0.48,0.1405,0.15,18
M,0.5795,215.0,0.1685,455.0,125.0,0.15,13
I,209.0,75.0,66.0,0.35,59.0,0.11,9
M,224.0,75.0,0.0815,0.37,0.0575,105.0,8
I,0.1765,0.05,0.0785,0.34,0.0405,75.0,7
I,196.0,64.0,82.0,0.35,0.04,75.0,8
I,192.0,53.0,81.0,0.35,0.0465,0.08,6
I,0.3095,0.09,147.0,0.39,0.05,0.09,7
I,313.0,93.0,131.0,395.0,72.0,95.0,7
I,0.3595,0.0915,167.0,415.0,83.0,105.0,6
I,0.3855,0.1,192.0,0.43,0.0745,0.1,7
I,0.5785,184.0,0.25,0.48,106.0,115.0,8
M,674.0,185.0,0.3325,0.49,0.1235,0.12,9
F,0.5265,148.0,249.0,0.49,0.1005,105.0,7
F,1.0315,337.0,432.0,0.56,0.2025,0.16,9
M,0.9,218.0,472.0,0.56,182.0,0.14,7
M,1.0165,265.0,491.0,0.58,221.0,0.15,9
F,1.2495,371.0,0.4945,0.58,0.27,0.18,8
M,1.1685,0.28,539.0,0.59,279.0,135.0,8
F,1148.0,0.37,444.0,595.0,214.0,165.0,10
M,1089.0,292.0,0.5195,0.6,223.0,0.15,11
M,1.0325,0.2785,497.0,0.61,0.2175,155.0,9
F,1172.0,316.0,536.0,0.63,254.0,0.15,11
M,1.3715,409.0,567.0,0.64,307.0,0.17,10
F,1.5055,0.43,0.6565,0.65,341.0,185.0,10
M,1.9045,0.5,882.0,0.71,0.44,0.2,13
M,2.4925,0.5235,1.1455,0.74,575.0,0.2,13
I,0.0805,0.0215,0.0345,0.25,0.0185,65.0,4
I,111.0,0.03,0.0425,0.28,0.0285,65.0,6
I,152.0,45.0,65.0,325.0,0.0305,75.0,6
I,199.0,0.06,73.0,0.35,49.0,95.0,5
I,219.0,65.0,97.0,0.36,0.0405,0.09,6
I,0.2155,63.0,0.0915,365.0,0.0475,105.0,6
I,0.2565,0.0645,0.1255,0.37,0.0645,0.09,6
I,257.0,75.0,0.1045,375.0,62.0,0.09,7
I,0.2505,75.0,0.0945,0.38,0.0655,95.0,6
I,279.0,75.0,134.0,395.0,49.0,0.09,8
I,378.0,0.09,188.0,0.43,0.0785,105.0,6
I,456.0,131.0,0.21,0.44,0.0955,125.0,8
I,0.5055,0.14,234.0,465.0,0.11,0.1,7
F,0.4705,126.0,0.1955,465.0,118.0,115.0,7
M,643.0,135.0,349.0,0.48,0.1155,0.13,8
I,513.0,0.13,219.0,485.0,0.1075,0.1,7
F,569.0,145.0,256.0,0.49,0.1325,115.0,9
I,578.0,0.1645,0.2545,495.0,0.1305,145.0,8
I,596.0,151.0,0.3015,0.5,104.0,0.11,8
F,0.5725,146.0,0.2555,505.0,0.1325,0.12,8
M,0.6435,161.0,0.2885,0.52,157.0,0.12,7
M,0.8115,0.2,0.4035,0.52,166.0,125.0,7
F,0.7115,0.1915,0.3205,525.0,159.0,125.0,7
M,0.9155,0.25,0.3645,0.55,195.0,155.0,8
F,0.8815,0.2155,0.43,555.0,0.1975,145.0,8
F,931.0,225.0,0.4445,555.0,171.0,0.11,8
F,1065.0,0.2815,0.4985,575.0,0.2145,165.0,8
M,1.1385,0.31,502.0,0.6,0.2295,155.0,9
F,1234.0,315.0,598.0,0.61,238.0,0.16,12
F,1.2635,0.3455,0.53,0.61,315.0,175.0,10
F,1.0745,0.29,0.4925,0.61,236.0,0.16,8
M,1403.0,365.0,0.6715,615.0,0.2925,0.19,8
M,1.1325,0.2825,0.5235,0.62,0.2505,165.0,9
F,1.1115,345.0,0.4495,625.0,0.2825,0.16,11
F,1255.0,405.0,525.0,625.0,0.2415,0.17,10
M,1437.0,475.0,0.5855,625.0,293.0,0.17,11
M,1.3635,295.0,583.0,635.0,0.2985,155.0,10
F,1.1435,353.0,0.4915,0.64,0.2345,195.0,9
M,1.4545,354.0,642.0,0.64,0.3575,0.17,9
M,1478.0,372.0,0.5815,0.66,381.0,0.18,10
F,1.6885,0.4265,0.7295,665.0,407.0,165.0,11
F,2.0725,565.0,0.8655,715.0,0.4095,0.23,10
M,1787.0,529.0,718.0,0.72,385.0,0.2,11
F,1523.0,0.4375,0.8045,725.0,0.3595,185.0,9
I,21.0,14.0,0.0075,165.0,0.0045,0.05,3
I,0.0455,13.0,0.02,0.21,0.0065,55.0,4
I,0.2435,0.06,122.0,355.0,0.0525,85.0,6
I,0.2675,0.0765,116.0,0.4,0.0585,85.0,6
I,258.0,0.0815,104.0,0.4,59.0,0.1,7
I,0.2985,75.0,0.1375,0.4,71.0,0.11,6
I,411.0,0.1,0.2025,435.0,0.0945,0.11,7
I,0.38,0.09,197.0,0.44,79.0,0.11,7
I,0.4385,0.12,0.21,0.45,0.0925,105.0,8
I,0.4015,109.0,242.0,465.0,0.0345,105.0,6
I,0.4485,123.0,156.0,0.47,102.0,145.0,7
I,0.4155,139.0,167.0,0.47,84.0,115.0,7
I,0.7095,0.1845,0.35,475.0,0.1505,0.16,8
I,637.0,128.0,0.38,485.0,0.1335,115.0,7
F,1.1155,0.3065,509.0,505.0,239.0,0.16,8
I,599.0,0.1485,0.3065,0.51,0.1155,0.13,8
I,0.5345,0.1535,0.2375,0.52,122.0,0.13,8
F,627.0,183.0,0.2905,0.53,0.1165,0.14,8
M,0.7465,0.2185,348.0,535.0,0.1515,0.16,10
M,985.0,0.27,0.4645,0.55,201.0,0.16,8
M,0.85,0.23,0.4165,555.0,0.1685,145.0,8
M,838.0,0.23,0.4155,555.0,146.0,0.15,8
F,812.0,0.2215,0.4055,555.0,163.0,135.0,9
M,0.7615,0.1955,0.3695,0.56,0.17,0.13,8
M,0.87,225.0,0.3945,575.0,0.2195,145.0,8
F,0.9835,0.22,0.4845,585.0,242.0,145.0,9
M,929.0,255.0,0.38,0.59,0.24,145.0,10
F,1.0155,289.0,491.0,595.0,0.1905,165.0,9
M,939.0,268.0,0.4475,0.6,196.0,145.0,8
M,1164.0,335.0,0.5045,0.6,0.2635,0.16,12
M,1214.0,325.0,0.5315,0.61,0.2835,175.0,10
F,1.1345,348.0,0.4695,615.0,257.0,0.19,11
F,1233.0,322.0,592.0,0.62,274.0,0.18,10
M,1.0815,0.3135,0.4715,625.0,254.0,0.18,10
M,1179.0,271.0,605.0,625.0,258.0,175.0,9
F,1.1635,0.32,554.0,0.64,239.0,165.0,11
F,1.1545,288.0,0.4865,0.64,341.0,175.0,9
F,1.3345,355.0,667.0,645.0,0.2665,175.0,10
M,1469.0,0.38,0.7115,0.65,0.3335,0.18,9
M,1492.0,355.0,0.7185,655.0,0.36,0.18,11
F,1.5585,385.0,0.7285,655.0,402.0,175.0,11
F,1.3275,0.4085,556.0,0.66,0.2805,175.0,9
M,1.6615,0.43,0.8005,0.67,0.3645,0.18,10
F,1492.0,0.42,0.6425,0.69,0.3905,0.19,12
F,1.7365,461.0,0.7755,0.7,0.3965,0.2,11
F,1.6605,398.0,0.8605,0.7,0.3275,175.0,11
M,1348.0,0.4535,0.8985,0.71,0.4435,195.0,11
M,1.7405,449.0,871.0,715.0,347.0,0.18,10
F,1.7185,468.0,0.7925,0.72,401.0,185.0,11
I,41.0,0.0125,15.0,215.0,9.0,55.0,3
I,0.0655,0.02,0.0295,0.24,0.0005,0.06,4
I,97.0,0.0305,0.0415,0.26,19.0,0.07,4
I,131.0,38.0,0.0615,0.32,0.0265,85.0,6
I,0.1695,0.0505,79.0,0.33,26.0,85.0,6
I,192.0,54.0,97.0,335.0,0.03,85.0,6
I,0.1765,0.0575,72.0,0.35,0.0355,0.09,7
I,0.1735,56.0,0.0775,0.35,34.0,85.0,6
I,0.1785,54.0,0.0785,0.36,35.0,75.0,6
I,0.2055,0.0585,96.0,0.36,37.0,0.09,7
I,0.2345,0.0625,108.0,365.0,51.0,0.09,7
I,0.2305,0.0775,0.1005,0.38,39.0,0.09,7
I,314.0,87.0,0.1545,0.4,0.0595,115.0,6
I,0.33,0.08,151.0,0.4,68.0,0.09,6
I,0.2775,0.08,0.1245,0.4,0.0605,0.1,9
I,405.0,0.1065,0.1695,425.0,92.0,0.11,8
I,309.0,98.0,119.0,0.43,0.08,105.0,6
M,0.4385,0.1315,0.2075,435.0,0.0715,0.11,7
I,396.0,125.0,0.1775,435.0,81.0,0.12,8
I,0.3615,0.12,0.1415,445.0,0.0785,95.0,8
I,514.0,0.14,253.0,0.45,0.1045,0.11,8
I,0.4265,0.1205,195.0,455.0,0.09,0.11,8
I,384.0,0.11,0.1795,0.46,68.0,0.09,8
I,0.4865,142.0,0.2155,475.0,0.1105,125.0,9
I,0.4355,125.0,196.0,475.0,0.0925,135.0,8
I,498.0,0.14,0.2375,475.0,99.0,115.0,7
I,494.0,0.15,0.2385,0.48,0.0835,125.0,9
F,594.0,0.1375,0.28,495.0,0.11,0.12,7
I,528.0,0.1645,229.0,0.5,103.0,125.0,9
M,0.5585,0.1535,0.2575,505.0,119.0,115.0,8
I,636.0,0.1855,0.3055,515.0,0.1215,135.0,9
I,567.0,0.16,0.2875,525.0,0.1075,105.0,8
I,0.6615,0.19,0.2945,0.53,0.1395,0.13,9
I,658.0,198.0,296.0,0.53,0.1245,0.13,8
M,0.78,0.2365,0.3165,535.0,169.0,135.0,8
I,0.6075,0.1975,268.0,535.0,0.1225,0.13,9
I,0.7025,0.2,0.31,0.54,177.0,135.0,8
I,0.8725,0.2425,412.0,0.55,187.0,155.0,10
F,1.2365,308.0,0.5305,565.0,0.2455,175.0,10
M,1186.0,277.0,0.6355,0.57,0.2315,155.0,10
I,0.7745,0.2365,0.3535,0.57,0.1505,0.13,9
F,0.8875,223.0,0.4315,0.57,0.1915,0.16,8
I,0.8725,285.0,349.0,575.0,0.2095,155.0,8
I,0.8515,0.1965,0.4555,575.0,0.1715,125.0,9
F,895.0,271.0,0.3605,575.0,221.0,0.16,9
M,886.0,0.2575,0.3605,575.0,211.0,155.0,9
I,0.9265,0.27,0.4135,0.58,0.1845,0.14,10
I,0.8295,238.0,0.3915,0.58,165.0,0.14,10
I,907.0,0.2445,444.0,0.58,0.1855,0.15,11
M,1041.0,279.0,0.54,0.58,166.0,165.0,9
F,0.9355,259.0,0.4035,585.0,0.2275,165.0,9
F,1058.0,294.0,486.0,585.0,0.25,165.0,9
F,0.7955,0.2425,0.3425,595.0,0.1795,145.0,10
F,1.0805,0.3205,0.4995,0.6,0.2245,0.17,9
M,928.0,275.0,0.4225,0.6,183.0,0.15,8
F,1059.0,0.39,441.0,0.6,0.19,155.0,11
M,1157.0,0.36,522.0,0.6,0.2235,0.23,11
F,1088.0,0.31,0.4905,0.6,0.2475,0.17,10
F,776.0,239.0,0.3545,0.6,0.1585,145.0,9
F,1043.0,0.31,0.4835,0.62,221.0,165.0,10
M,1.1415,0.29,0.5795,625.0,0.2145,0.16,9
F,1.3335,319.0,605.0,625.0,0.2875,0.16,10
F,1273.0,374.0,564.0,625.0,302.0,175.0,9
M,1.1835,0.39,517.0,625.0,0.2375,165.0,11
M,1.2135,302.0,631.0,625.0,0.2235,0.16,9
I,1.0315,325.0,0.4265,0.63,0.24,0.15,11
M,1.3695,365.0,657.0,635.0,0.3055,0.17,10
M,1.3745,369.0,0.75,0.65,0.1805,185.0,12
M,1463.0,0.4115,658.0,0.65,0.3135,0.18,11
F,1.6275,432.0,689.0,0.65,0.3905,195.0,11
F,1.3875,0.3095,0.58,0.65,0.3485,165.0,9
M,1.46,405.0,686.0,655.0,311.0,0.16,11
F,1.2835,0.4,583.0,655.0,0.1255,165.0,8
F,1.3765,335.0,0.6485,0.66,288.0,155.0,12
M,1.6465,401.0,749.0,0.66,422.0,0.2,11
M,1265.0,325.0,0.6025,675.0,299.0,145.0,10
M,1.56,465.0,647.0,685.0,383.0,0.17,11
M,1.6,445.0,708.0,715.0,0.3525,0.18,12
M,2333.0,0.6195,1.2395,735.0,0.3645,0.22,12
I,28.0,9.0,0.0095,175.0,8.0,0.04,4
I,226.0,0.0675,0.1135,0.37,0.0515,95.0,8
I,0.2855,77.0,0.1385,395.0,0.0625,0.09,5
I,325.0,0.1025,0.1245,0.42,0.0755,0.11,7
I,514.0,126.0,0.2385,455.0,0.1235,0.11,8
I,0.5755,0.1395,0.31,495.0,0.1145,115.0,8
F,0.5805,148.0,0.2865,0.51,118.0,0.11,7
M,678.0,119.0,341.0,515.0,0.1325,0.14,8
M,0.8035,228.0,409.0,545.0,144.0,155.0,7
F,913.0,0.2065,0.4585,555.0,196.0,0.12,9
M,0.8675,215.0,0.3935,0.58,221.0,0.16,9
F,1.0425,0.27,0.4635,0.59,0.24,0.17,10
M,1.14,365.0,423.0,0.6,0.2575,0.18,10
F,1.3475,0.3045,0.7045,0.61,0.25,0.17,11
M,1.0735,0.31,0.4375,615.0,0.2585,155.0,11
M,1.4335,0.3285,0.7315,615.0,305.0,0.19,9
M,1304.0,371.0,0.5795,615.0,0.3115,0.2,14
M,0.9505,228.0,0.4915,0.62,0.2,0.16,9
M,1385.0,0.38,0.6355,0.63,0.2955,0.17,11
F,1.12,0.32,0.4955,0.64,0.2645,0.17,12
F,1.2645,315.0,565.0,0.64,0.3375,0.17,9
F,1275.0,333.0,583.0,655.0,303.0,0.17,8
M,1.27,335.0,0.6035,655.0,262.0,165.0,10
M,1583.0,405.0,0.7395,0.66,0.3505,175.0,10
F,1.4355,0.37,643.0,665.0,345.0,175.0,9
F,1.42,0.3905,573.0,0.67,368.0,195.0,10
M,1.5955,0.48,678.0,0.69,331.0,0.19,10
M,1.89,0.4305,0.95,715.0,436.0,0.2,10
F,2037.0,0.5675,0.87,735.0,0.5145,225.0,13
I,84.0,29.0,0.03,0.27,0.0185,0.05,6
I,0.1005,35.0,0.0425,285.0,0.0185,0.07,7
I,0.1285,0.0365,0.0585,295.0,27.0,85.0,5
I,0.1345,44.0,57.0,0.3,28.0,75.0,5
I,0.1195,35.0,52.0,0.3,0.0155,65.0,5
I,0.1895,55.0,0.0725,0.36,0.0515,85.0,6
I,257.0,0.0825,0.1015,0.37,55.0,95.0,6
I,0.2745,78.0,135.0,0.39,0.0455,0.09,8
I,342.0,105.0,0.1335,435.0,0.0835,0.1,6
I,344.0,125.0,123.0,0.44,81.0,105.0,8
I,0.3275,0.1,0.1495,0.44,59.0,95.0,8
I,0.4035,0.13,169.0,445.0,0.0825,0.12,7
I,0.4075,0.1455,0.1515,465.0,0.0935,115.0,9
I,0.4975,0.14,0.2375,465.0,99.0,0.12,8
I,0.3685,125.0,0.1525,0.47,0.0615,0.12,8
I,0.4175,127.0,0.1645,475.0,99.0,105.0,7
I,0.4425,135.0,0.1895,475.0,86.0,0.1,9
I,0.4225,0.1355,0.1905,475.0,79.0,125.0,9
I,426.0,151.0,163.0,485.0,0.0965,125.0,8
I,511.0,0.1745,0.2205,0.49,103.0,0.12,9
I,573.0,195.0,213.0,515.0,134.0,0.13,9
I,0.6385,171.0,0.2945,0.52,0.1405,0.14,8
I,657.0,168.0,0.2985,525.0,0.1505,125.0,10
F,0.8735,0.2225,0.4205,525.0,182.0,0.14,10
I,781.0,215.0,0.3905,0.53,0.2005,0.13,9
I,0.6765,208.0,256.0,0.53,0.1855,0.14,9
M,769.0,215.0,346.0,0.53,173.0,125.0,9
I,0.6235,195.0,0.2975,0.53,108.0,125.0,11
M,0.7315,0.19,336.0,535.0,156.0,0.14,7
I,0.8075,0.2595,0.3655,535.0,148.0,155.0,10
M,737.0,212.0,349.0,545.0,0.15,0.14,9
F,654.0,205.0,0.2945,545.0,0.1315,125.0,10
I,0.7915,236.0,0.3535,0.55,176.0,0.15,10
I,753.0,0.24,0.3445,0.55,0.1325,0.14,8
I,717.0,221.0,0.3315,0.55,0.1495,135.0,9
I,783.0,247.0,345.0,555.0,0.1755,0.15,9
I,872.0,217.0,0.4675,575.0,0.18,145.0,9
I,983.0,239.0,486.0,575.0,215.0,0.15,8
F,1034.0,0.32,437.0,585.0,0.2225,155.0,11
F,0.9855,0.2845,0.4325,585.0,0.2145,145.0,10
I,0.7635,265.0,326.0,585.0,153.0,0.14,9
M,0.9895,0.28,0.4235,0.59,199.0,135.0,8
I,0.9365,287.0,434.0,595.0,184.0,135.0,10
F,964.0,0.2575,0.5005,595.0,0.1715,135.0,10
F,1.0455,0.3085,0.4565,595.0,0.24,155.0,10
F,1081.0,279.0,0.49,595.0,0.2525,165.0,12
M,1012.0,305.0,441.0,0.6,0.2015,0.16,10
F,1122.0,309.0,0.5095,0.6,256.0,0.16,10
M,1.1245,0.3555,492.0,605.0,222.0,165.0,11
F,1.1345,0.35,0.4305,605.0,0.2525,0.15,10
M,1.0805,0.2935,517.0,0.61,0.2495,0.19,10
F,1.0835,317.0,0.4525,0.61,273.0,165.0,9
M,1242.0,317.0,0.5675,615.0,287.0,175.0,11
M,1.3915,332.0,726.0,0.62,0.2795,0.18,11
M,1085.0,0.35,454.0,0.62,0.1965,155.0,10
I,966.0,284.0,447.0,0.62,171.0,155.0,11
M,1.0855,305.0,481.0,0.62,0.2575,165.0,10
F,1.3025,0.3605,0.61,625.0,0.2675,135.0,14
I,1.15,0.3315,0.5255,625.0,257.0,0.16,11
I,1217.0,0.31,0.5515,0.63,212.0,0.17,11
F,1306.0,375.0,516.0,0.63,0.3305,195.0,9
M,1273.0,405.0,0.5065,0.64,0.2925,175.0,13
M,1.4865,425.0,0.6445,645.0,296.0,0.19,12
M,1.3655,0.36,0.6155,0.65,0.2885,0.17,11
M,1276.0,399.0,0.6215,0.65,0.2305,0.17,11
M,1.2075,0.32,0.55,0.65,0.2695,0.16,10
F,1281.0,0.3825,0.5985,0.65,246.0,195.0,10
M,1.4275,0.4355,0.69,0.65,306.0,205.0,13
M,1155.0,385.0,0.4955,0.65,0.2025,175.0,12
F,1.35,0.3885,575.0,0.65,0.3155,175.0,10
M,1.3685,0.4,0.5975,0.65,296.0,0.19,11
F,1431.0,398.0,622.0,0.66,309.0,0.17,10
M,1261.0,339.0,0.5,0.66,0.2335,0.18,10
F,1764.0,0.47,0.8505,665.0,0.3615,195.0,11
F,1278.0,358.0,0.5605,0.67,0.3045,155.0,11
M,1217.0,0.3315,532.0,0.67,0.2735,195.0,11
F,1.46,0.4165,0.6435,0.67,328.0,0.2,9
F,1.5575,0.4,0.7035,675.0,402.0,185.0,11
M,1527.0,341.0,809.0,675.0,318.0,0.17,11
F,1.4985,425.0,0.62,675.0,375.0,195.0,9
M,1885.0,0.4895,0.89,685.0,0.41,0.19,10
M,1432.0,0.46,637.0,685.0,247.0,175.0,11
M,1.4385,462.0,655.0,705.0,0.3255,0.21,11
F,1564.0,0.44,612.0,705.0,394.0,0.17,10
M,2.14,434.0,1.2455,0.71,0.3725,175.0,11
F,1792.0,435.0,873.0,725.0,367.0,185.0,11
M,2548.0,0.6745,1.1945,0.78,0.5745,0.21,11
I,0.1585,0.0465,0.0685,235.0,37.0,75.0,5
I,0.4015,0.1255,0.1725,0.35,63.0,0.1,7
I,465.0,128.0,0.21,0.36,0.1055,115.0,7
I,0.2885,67.0,165.0,0.38,0.0435,95.0,7
F,0.6475,164.0,323.0,0.38,0.1325,115.0,7
M,0.6485,184.0,0.2735,0.43,163.0,0.13,9
I,452.0,0.1035,0.22,465.0,159.0,105.0,9
I,0.4915,0.1325,0.1765,0.47,0.1125,0.12,9
F,0.9145,273.0,0.4145,485.0,199.0,0.15,7
M,976.0,0.2475,0.45,495.0,0.2285,155.0,9
I,0.7865,0.2455,332.0,0.5,0.1815,145.0,8
M,775.0,185.0,0.3445,505.0,157.0,0.15,7
I,0.8415,255.0,0.3845,0.51,156.0,0.15,10
M,681.0,0.17,0.3435,0.51,142.0,135.0,9
M,0.6145,146.0,0.3415,515.0,155.0,115.0,9
F,1.1655,311.0,502.0,0.55,301.0,0.18,9
F,1764.0,0.4095,914.0,575.0,377.0,0.19,10
M,1.1215,271.0,533.0,605.0,273.0,0.16,10
M,1167.0,345.0,0.4895,615.0,0.2955,165.0,10
M,1.0375,283.0,476.0,615.0,0.2325,0.15,9
M,1223.0,0.3375,565.0,625.0,0.2975,0.18,10
M,1124.0,287.0,556.0,625.0,0.2315,0.15,9
F,1.2635,355.0,512.0,635.0,322.0,0.17,9
F,1238.0,0.3005,647.0,0.65,0.2485,165.0,9
F,1.4045,0.3235,694.0,0.65,318.0,0.17,11
F,1.37,407.0,0.6065,0.67,0.2955,195.0,12
F,1.8185,0.4525,819.0,695.0,0.4025,205.0,13
F,1.7525,516.0,0.7105,705.0,0.4215,195.0,12
I,101.0,34.0,41.0,275.0,21.0,65.0,5
I,106.0,34.0,39.0,285.0,0.0285,0.07,5
I,0.1865,0.0615,0.0675,0.36,37.0,85.0,7
I,0.2575,86.0,0.1,385.0,61.0,0.1,6
I,0.3225,91.0,143.0,0.4,0.0735,0.1,6
I,0.32,123.0,118.0,0.43,65.0,95.0,7
I,0.4155,145.0,0.17,435.0,76.0,0.11,8
I,0.3935,0.11,195.0,0.45,71.0,115.0,7
I,0.4775,0.1435,0.2145,475.0,0.09,135.0,8
I,452.0,0.13,191.0,475.0,99.0,0.11,8
I,0.5065,0.1465,0.2425,485.0,88.0,0.14,8
I,0.5525,165.0,234.0,0.51,127.0,105.0,8
I,565.0,179.0,235.0,515.0,135.0,0.12,9
I,699.0,0.1945,0.3395,0.52,129.0,0.14,10
I,0.6055,0.21,0.2605,525.0,108.0,0.14,9
